Brand,Model,Year,Engine_Size,Fuel_Type,Transmission,Mileage,Owner_Count,Price
Kia,Rio,2020,4.2,Diesel,Manual,289944,5,8501
Chevrolet,Malibu,2012,2.0,Hybrid,Automatic,5356,3,12092
Mercedes,GLA,2020,4.2,Diesel,Automatic,231440,2,11171
Audi,Q5,2023,2.0,Electric,Manual,160971,1,11780
Volkswagen,Golf,2003,2.6,Hybrid,Semi-Automatic,286618,3,2867
Toyota,Camry,2007,2.7,Petrol,Automatic,157889,4,7242
Honda,Civic,2010,3.4,Electric,Automatic,139584,1,11208
Kia,Sportage,2001,4.7,Electric,Semi-Automatic,157495,2,7950
Kia,Sportage,2014,2.6,Hybrid,Manual,98700,4,9926
Toyota,RAV4,2005,3.1,Petrol,Manual,107724,5,6545
BMW,5 Series,2013,1.3,Hybrid,Automatic,296824,3,5863
Volkswagen,Golf,2009,4.5,Hybrid,Manual,42795,3,11444
Honda,CR-V,2007,4.8,Hybrid,Automatic,132875,4,10842
Hyundai,Elantra,2004,2.3,Hybrid,Semi-Automatic,188996,1,4820
Volkswagen,Golf,2003,2.4,Petrol,Automatic,145921,2,5981
Volkswagen,Golf,2007,3.2,Diesel,Automatic,60103,1,9697
Hyundai,Elantra,2017,2.9,Electric,Automatic,38133,2,14837
Volkswagen,Tiguan,2006,4.5,Electric,Manual,41161,2,11576
Kia,Rio,2000,3.4,Diesel,Semi-Automatic,257427,3,2351
Mercedes,GLA,2021,1.5,Petrol,Manual,34640,1,11207
Chevrolet,Equinox,2018,1.8,Hybrid,Automatic,21261,1,13374
Toyota,RAV4,2000,4.6,Hybrid,Semi-Automatic,41814,2,8863
Toyota,RAV4,2003,2.0,Electric,Manual,136662,4,6266
Ford,Explorer,2006,2.8,Hybrid,Manual,99921,2,7701
Mercedes,GLA,2016,3.9,Petrol,Semi-Automatic,19868,4,12402
Kia,Sportage,2011,1.8,Diesel,Automatic,92188,4,8856
Audi,A3,2022,3.3,Electric,Manual,79350,3,14413
BMW,3 Series,2017,2.3,Electric,Semi-Automatic,142701,3,10645
BMW,3 Series,2020,4.7,Electric,Semi-Automatic,210767,3,12584
